iter	RMSE
0	86.32456635
1	82.5133035
2	79.08916926
3	75.76356077
4	72.80971446
5	70.33962264
6	68.09883708
7	66.11300932
8	64.52867838
9	62.92331065
10	61.50762563
11	60.48894209
12	59.32380437
13	58.4822406
14	57.57061544
15	56.66680396
16	55.8706893
17	55.02595265
18	54.42760972
19	53.89657341
20	53.34675219
21	52.8447585
22	52.45009637
23	51.93037695
24	51.60049554
25	51.22823539
26	50.85623847
27	50.56477947
28	50.2558648
29	49.86568236
30	49.61506404
31	49.2832013
32	48.96706785
33	48.60716264
34	48.31039928
35	48.1103304
36	47.84117331
37	47.6976142
38	47.46272302
39	47.32159291
40	47.05113719
41	46.84396203
42	46.7411912
43	46.62792299
44	46.44297486
45	46.31304425
46	46.15681844
47	46.03780977
48	45.7759923
49	45.69546201
50	45.53862242
51	45.33316375
52	45.21952264
53	45.02573988
54	44.9216436
55	44.82447898
56	44.66275008
57	44.53268019
58	44.3387789
59	44.22375894
60	44.11040206
61	44.00772911
62	43.84800128
63	43.78941555
64	43.7040599
65	43.61786586
66	43.5665777
67	43.42296884
68	43.2613885
69	43.08406168
70	42.97527068
71	42.91392328
72	42.74587521
73	42.62977238
74	42.50842344
75	42.37198843
76	42.258203
77	42.14160298
78	42.05322031
79	41.9329581
80	41.79029242
81	41.72153216
82	41.63165501
83	41.48495518
84	41.3645626
85	41.31720748
86	41.20637834
87	41.08855666
88	40.98736334
89	40.90895495
90	40.8117759
91	40.71253229
92	40.54036041
93	40.39201998
94	40.34604465
95	40.32323103
96	40.17067158
97	40.01682729
98	39.95331156
99	39.85207597
100	39.75824553
101	39.73046386
102	39.58875562
103	39.52657216
104	39.42336495
105	39.2947417
106	39.19694851
107	39.18828141
108	39.17534817
109	39.04273571
110	38.94025775
111	38.80262928
112	38.73492124
113	38.59006246
114	38.57849185
115	38.45969241
116	38.4503654
117	38.33325653
118	38.24088007
119	38.1489976
120	38.06209532
121	37.92859212
122	37.92295121
123	37.82645785
124	37.77656803
125	37.67377222
126	37.58291346
127	37.46020068
128	37.31279486
129	37.30314135
130	37.25348313
131	37.2461991
132	37.12673145
133	37.03290311
134	36.93989606
135	36.85931387
136	36.77069679
137	36.76531509
138	36.60955044
139	36.51259632
140	36.49114952
141	36.3773082
142	36.27852628
143	36.1851756
144	36.10646806
145	36.02638399
146	35.94848571
147	35.92490108
148	35.80117834
149	35.79639745
150	35.79197801
151	35.78537597
152	35.68967937
153	35.58080001
154	35.49245062
155	35.41478964
156	35.40603744
157	35.31367248
158	35.30758108
159	35.15282033
160	35.14657981
161	35.03058621
162	34.96787943
163	34.96264019
164	34.89732125
165	34.82633327
166	34.7225353
167	34.64315381
168	34.63574351
169	34.55785714
170	34.50604342
171	34.39823952
172	34.30395208
173	34.25143068
174	34.17675147
175	34.17073116
176	34.16480335
177	34.09377083
178	33.98880283
179	33.94372654
180	33.88589588
181	33.86781264
182	33.79560211
183	33.72911972
184	33.61388348
185	33.48500817
186	33.42468088
187	33.31887738
188	33.25889077
189	33.20005842
190	33.19516304
191	33.1494131
192	33.08764003
193	33.04134256
194	32.99236414
195	32.90433133
196	32.8992804
197	32.8034098
198	32.75352869
199	32.7332006
200	32.65784757
201	32.58735456
202	32.50707434
203	32.49641592
204	32.40680324
205	32.40456092
206	32.350223
207	32.25258158
208	32.18058882
209	32.08308468
210	31.97341896
211	31.89413675
212	31.82794775
213	31.76530374
214	31.69523337
215	31.63613775
216	31.63424765
217	31.63204621
218	31.57979295
219	31.51158069
220	31.47091132
221	31.46920157
222	31.41110059
223	31.34778487
224	31.30528375
225	31.30365199
226	31.2823116
227	31.2378231
228	31.17525829
229	31.08374083
230	31.01050445
231	30.95352319
232	30.90242577
233	30.85814125
234	30.79825154
235	30.70424521
236	30.65462526
237	30.58503589
238	30.4942122
239	30.44432682
240	30.39280398
241	30.34423631
242	30.28312614
243	30.17785616
244	30.10599797
245	30.06865893
246	29.98796609
247	29.94285427
248	29.91077221
249	29.81569163
250	29.71492095
251	29.65257742
252	29.59169363
253	29.53235002
