iter	Passed	Remaining
0	7	3556
1	17	4350
2	26	4350
3	39	4949
4	48	4795
5	55	4533
6	60	4226
7	64	3994
8	69	3811
9	74	3648
10	80	3582
11	85	3479
12	94	3535
13	99	3449
14	104	3381
15	109	3299
16	113	3233
17	118	3179
18	123	3117
19	131	3165
20	138	3152
21	145	3152
22	152	3156
23	157	3116
24	161	3076
25	167	3058
26	174	3065
27	181	3063
28	186	3025
29	190	2991
30	195	2957
31	202	2960
32	207	2929
33	214	2943
34	219	2913
35	224	2891
36	229	2872
37	234	2848
38	238	2823
39	243	2801
40	250	2802
41	257	2810
42	262	2792
43	267	2769
44	272	2752
45	276	2731
46	282	2720
47	287	2703
48	296	2724
49	300	2703
50	305	2685
51	309	2665
52	314	2650
53	318	2633
54	323	2616
55	330	2617
56	337	2623
57	343	2615
58	348	2603
59	353	2588
60	357	2572
61	362	2557
62	366	2544
63	372	2536
64	380	2543
65	385	2536
66	390	2521
67	394	2508
68	399	2495
69	404	2485
70	409	2472
71	416	2478
72	421	2467
73	426	2457
74	431	2447
75	436	2435
76	443	2436
77	448	2427
78	454	2420
79	460	2416
80	465	2408
81	470	2397
82	475	2387
83	479	2375
84	485	2370
85	490	2362
86	498	2368
87	504	2360
88	508	2349
89	513	2337
90	517	2326
91	522	2316
92	527	2307
93	531	2296
94	540	2304
95	546	2300
96	551	2290
97	556	2282
98	565	2289
99	569	2279
100	577	2283
101	586	2287
102	592	2282
103	598	2280
104	606	2282
105	611	2273
106	619	2274
107	626	2275
108	633	2272
109	638	2262
110	643	2255
111	649	2249
112	653	2239
113	661	2238
114	666	2229
115	670	2219
116	674	2208
117	679	2199
118	685	2193
119	689	2184
120	694	2174
121	700	2171
122	705	2162
123	709	2152
124	714	2144
125	719	2135
126	724	2128
127	729	2120
128	734	2111
129	740	2107
130	745	2100
131	750	2093
132	755	2084
133	761	2080
134	767	2074
135	771	2065
136	779	2064
137	784	2057
138	789	2049
139	793	2040
140	798	2032
141	803	2024
142	807	2015
143	812	2007
144	819	2006
145	824	1999
146	830	1993
147	835	1986
148	839	1978
149	844	1970
150	849	1962
151	853	1953
152	857	1945
153	864	1943
154	869	1935
155	874	1927
156	879	1922
157	884	1913
158	888	1905
159	893	1898
160	897	1890
161	903	1885
162	908	1877
163	913	1870
164	917	1863
165	922	1856
166	928	1850
167	932	1843
168	937	1836
169	946	1837
170	951	1831
171	957	1825
172	961	1817
173	966	1810
174	970	1802
175	975	1795
176	982	1793
177	987	1786
178	992	1779
179	997	1772
180	1002	1765
181	1007	1760
182	1012	1753
183	1016	1745
184	1022	1741
185	1027	1734
186	1032	1727
187	1037	1721
188	1042	1715
189	1047	1709
190	1055	1708
191	1060	1700
192	1068	1700
193	1076	1697
194	1095	1712
195	1107	1717
196	1116	1716
197	1126	1718
198	1135	1717
199	1140	1710
200	1147	1706
201	1153	1701
202	1157	1693
203	1162	1686
204	1167	1679
205	1172	1672
206	1177	1667
207	1183	1661
208	1188	1654
209	1192	1647
210	1197	1639
211	1204	1636
212	1212	1633
213	1218	1628
214	1224	1622
215	1231	1619
216	1237	1613
217	1244	1609
218	1251	1605
219	1258	1601
220	1263	1595
221	1268	1588
222	1275	1584
223	1282	1580
224	1288	1574
225	1293	1568
226	1299	1562
227	1303	1555
228	1310	1550
229	1316	1545
230	1321	1538
231	1325	1531
232	1330	1524
233	1335	1517
234	1339	1510
235	1344	1503
236	1350	1498
237	1355	1492
238	1361	1486
239	1365	1479
240	1370	1472
241	1375	1466
242	1379	1459
243	1384	1452
244	1390	1447
245	1396	1441
246	1400	1434
247	1405	1428
248	1411	1422
249	1416	1416
250	1420	1409
251	1425	1402
252	1431	1397
253	1436	1390
254	1441	1384
255	1445	1378
256	1450	1371
257	1455	1364
258	1460	1358
259	1464	1352
260	1470	1346
261	1476	1341
262	1480	1334
263	1485	1327
264	1491	1322
265	1495	1315
266	1500	1309
267	1504	1302
268	1510	1297
269	1515	1291
270	1520	1285
271	1525	1278
272	1530	1272
273	1534	1265
274	1540	1260
275	1544	1253
276	1554	1251
277	1559	1245
278	1564	1239
279	1570	1233
280	1578	1229
281	1582	1223
282	1591	1220
283	1596	1214
284	1603	1209
285	1610	1205
286	1615	1199
287	1624	1195
288	1629	1189
289	1638	1186
290	1642	1180
291	1647	1173
292	1655	1169
293	1660	1163
294	1664	1156
295	1673	1153
296	1678	1147
297	1683	1140
298	1688	1135
299	1694	1129
300	1699	1123
301	1703	1117
302	1708	1110
303	1714	1105
304	1719	1099
305	1724	1093
306	1729	1087
307	1734	1081
308	1739	1075
309	1744	1069
310	1749	1063
311	1753	1056
312	1762	1052
313	1769	1047
314	1773	1041
315	1777	1035
316	1782	1029
317	1787	1023
318	1792	1016
319	1797	1011
320	1803	1005
321	1808	999
322	1814	994
323	1819	988
324	1824	982
325	1828	976
326	1833	969
327	1838	963
328	1843	958
329	1848	952
330	1853	946
331	1857	939
332	1863	934
333	1867	928
334	1873	922
335	1881	918
336	1885	912
337	1890	906
338	1896	900
339	1900	894
340	1905	888
341	1910	882
342	1915	876
343	1923	872
344	1928	866
345	1932	860
346	1937	854
347	1941	848
348	1946	842
349	1951	836
350	1955	830
351	1961	824
352	1966	818
353	1971	813
354	1976	807
355	1981	801
356	1985	795
357	1990	789
358	1995	783
359	2000	777
360	2004	771
361	2009	766
362	2015	760
363	2021	755
364	2026	749
365	2031	743
366	2036	737
367	2044	733
368	2049	727
369	2057	723
370	2062	717
371	2070	712
372	2077	707
373	2083	701
374	2091	697
375	2096	691
376	2103	686
377	2109	680
378	2115	675
379	2122	670
380	2127	664
381	2132	658
382	2138	653
383	2143	647
384	2147	641
385	2152	635
386	2156	629
387	2162	624
388	2168	618
389	2173	613
390	2178	607
391	2182	601
392	2187	595
393	2192	589
394	2196	584
395	2202	578
396	2209	573
397	2218	568
398	2223	562
399	2227	556
400	2232	551
401	2237	545
402	2241	539
403	2246	533
404	2252	528
405	2256	522
406	2261	516
407	2267	511
408	2271	505
409	2276	499
410	2281	493
411	2285	488
412	2292	482
413	2298	477
414	2303	471
415	2308	466
416	2313	460
417	2318	454
418	2322	448
419	2328	443
420	2333	437
421	2337	432
422	2342	426
423	2347	420
424	2352	415
425	2358	409
426	2365	404
427	2371	398
428	2377	393
429	2382	387
430	2387	382
431	2393	376
432	2397	371
433	2402	365
434	2407	359
435	2414	354
436	2419	348
437	2424	343
438	2428	337
439	2433	331
440	2437	326
441	2443	320
442	2447	314
443	2452	309
444	2458	303
445	2464	298
446	2468	292
447	2474	287
448	2479	281
449	2483	275
450	2488	270
451	2494	264
452	2499	259
453	2504	253
454	2510	248
455	2515	242
456	2520	237
457	2525	231
458	2531	226
459	2537	220
460	2541	214
461	2546	209
462	2550	203
463	2556	198
464	2561	192
465	2566	187
466	2572	181
467	2577	176
468	2584	170
469	2591	165
470	2598	159
471	2604	154
472	2611	149
473	2618	143
474	2624	138
475	2628	132
476	2634	127
477	2638	121
478	2643	115
479	2647	110
480	2653	104
481	2660	99
482	2665	93
483	2671	88
484	2676	82
485	2681	77
486	2687	71
487	2691	66
488	2697	60
489	2702	55
490	2707	49
491	2712	44
492	2718	38
493	2723	33
494	2728	27
495	2733	22
496	2738	16
497	2744	11
498	2750	5
499	2755	0
